time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2019-08-26T00:00:00.000Z","LatLng(45.464664, 9.18854)","69.27646","/","2019-08-26T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-09-09T00:00:00.000Z","LatLng(45.464664, 9.18854)","105.8787","/","2019-09-09T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-09-23T00:00:00.000Z","LatLng(45.464664, 9.18854)","111.94634","/","2019-09-23T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-10-07T00:00:00.000Z","LatLng(45.464664, 9.18854)","139.59557","/","2019-10-07T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-10-21T00:00:00.000Z","LatLng(45.464664, 9.18854)","147.9299","/","2019-10-21T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-11-04T00:00:00.000Z","LatLng(45.464664, 9.18854)","113.49849","/","2019-11-04T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-11-18T00:00:00.000Z","LatLng(45.464664, 9.18854)","186.22487","/","2019-11-18T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-12-02T00:00:00.000Z","LatLng(45.464664, 9.18854)","201.83969","/","2019-12-02T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-12-16T00:00:00.000Z","LatLng(45.464664, 9.18854)","119.00155","/","2019-12-16T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-12-30T00:00:00.000Z","LatLng(45.464664, 9.18854)","235.2317","/","2019-12-30T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-01-13T00:00:00.000Z","LatLng(45.464664, 9.18854)","260.3581","/","2020-01-13T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-01-27T00:00:00.000Z","LatLng(45.464664, 9.18854)","169.64091","/","2020-01-27T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-02-10T00:00:00.000Z","LatLng(45.464664, 9.18854)","207.05075","/","2020-02-10T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-02-24T00:00:00.000Z","LatLng(45.464664, 9.18854)","122.156204","/","2020-02-24T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-03-09T00:00:00.000Z","LatLng(45.464664, 9.18854)","103.768005","/","2020-03-09T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-03-23T00:00:00.000Z","LatLng(45.464664, 9.18854)","85.79628","/","2020-03-23T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-04-06T00:00:00.000Z","LatLng(45.464664, 9.18854)","67.71051","/","2020-04-06T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-04-20T00:00:00.000Z","LatLng(45.464664, 9.18854)","55.82084","/","2020-04-20T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-05-04T00:00:00.000Z","LatLng(45.464664, 9.18854)","73.61088","/","2020-05-04T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-05-18T00:00:00.000Z","LatLng(45.464664, 9.18854)","67.66727","/","2020-05-18T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-06-01T00:00:00.000Z","LatLng(45.464664, 9.18854)","48.37047","/","2020-06-01T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-06-15T00:00:00.000Z","LatLng(45.464664, 9.18854)","54.320988","/","2020-06-15T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-06-29T00:00:00.000Z","LatLng(45.464664, 9.18854)","52.818394","/","2020-06-29T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-07-13T00:00:00.000Z","LatLng(45.464664, 9.18854)","47.390377","/","2020-07-13T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-07-27T00:00:00.000Z","LatLng(45.464664, 9.18854)","60.70986","/","2020-07-27T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-08-10T00:00:00.000Z","LatLng(45.464664, 9.18854)","45.864883","/","2020-08-10T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-08-24T00:00:00.000Z","LatLng(45.464664, 9.18854)","67.95849","/","2020-08-24T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-09-07T00:00:00.000Z","LatLng(45.464664, 9.18854)","91.929245","/","2020-09-07T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-09-21T00:00:00.000Z","LatLng(45.464664, 9.18854)","75.05935","/","2020-09-21T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-10-05T00:00:00.000Z","LatLng(45.464664, 9.18854)","138.10065","/","2020-10-05T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-10-19T00:00:00.000Z","LatLng(45.464664, 9.18854)","173.68611","/","2020-10-19T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-11-02T00:00:00.000Z","LatLng(45.464664, 9.18854)","135.84842","/","2020-11-02T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-11-16T00:00:00.000Z","LatLng(45.464664, 9.18854)","240.23524","/","2020-11-16T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-11-30T00:00:00.000Z","LatLng(45.464664, 9.18854)","183.905","/","2020-11-30T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-12-14T00:00:00.000Z","LatLng(45.464664, 9.18854)","182.7787","/","2020-12-14T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-12-28T00:00:00.000Z","LatLng(45.464664, 9.18854)","160.65096","/","2020-12-28T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-01-11T00:00:00.000Z","LatLng(45.464664, 9.18854)","327.16412","/","2021-01-11T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-01-25T00:00:00.000Z","LatLng(45.464664, 9.18854)","155.97792","/","2021-01-25T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-02-08T00:00:00.000Z","LatLng(45.464664, 9.18854)","216.76086","/","2021-02-08T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-02-22T00:00:00.000Z","LatLng(45.464664, 9.18854)","193.63081","/","2021-02-22T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-03-08T00:00:00.000Z","LatLng(45.464664, 9.18854)","149.39767","/","2021-03-08T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-03-22T00:00:00.000Z","LatLng(45.464664, 9.18854)","163.44319","/","2021-03-22T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-04-05T00:00:00.000Z","LatLng(45.464664, 9.18854)","94.02372","/","2021-04-05T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-04-19T00:00:00.000Z","LatLng(45.464664, 9.18854)","93.824554","/","2021-04-19T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-05-03T00:00:00.000Z","LatLng(45.464664, 9.18854)","NaN","/","2021-05-03T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-05-17T00:00:00.000Z","LatLng(45.464664, 9.18854)","NaN","/","2021-05-17T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-05-31T00:00:00.000Z","LatLng(45.464664, 9.18854)","NaN","/","2021-05-31T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
