time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2019-09-09T00:00:00.000Z","LatLng(34.05, -118.25)","116.8208","/","2019-09-09T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-09-23T00:00:00.000Z","LatLng(34.05, -118.25)","156.5572","/","2019-09-23T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-10-07T00:00:00.000Z","LatLng(34.05, -118.25)","155.51974","/","2019-10-07T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-10-21T00:00:00.000Z","LatLng(34.05, -118.25)","198.52446","/","2019-10-21T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-11-04T00:00:00.000Z","LatLng(34.05, -118.25)","195.37517","/","2019-11-04T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-11-18T00:00:00.000Z","LatLng(34.05, -118.25)","176.96223","/","2019-11-18T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-12-02T00:00:00.000Z","LatLng(34.05, -118.25)","294.11154","/","2019-12-02T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-12-16T00:00:00.000Z","LatLng(34.05, -118.25)","188.6569","/","2019-12-16T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2019-12-30T00:00:00.000Z","LatLng(34.05, -118.25)","241.87454","/","2019-12-30T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-01-13T00:00:00.000Z","LatLng(34.05, -118.25)","266.06528","/","2020-01-13T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-01-27T00:00:00.000Z","LatLng(34.05, -118.25)","249.08801","/","2020-01-27T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-02-10T00:00:00.000Z","LatLng(34.05, -118.25)","224.6983","/","2020-02-10T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-02-24T00:00:00.000Z","LatLng(34.05, -118.25)","191.5712","/","2020-02-24T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-03-09T00:00:00.000Z","LatLng(34.05, -118.25)","129.88953","/","2020-03-09T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-03-23T00:00:00.000Z","LatLng(34.05, -118.25)","86.84316","/","2020-03-23T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-04-06T00:00:00.000Z","LatLng(34.05, -118.25)","89.85443","/","2020-04-06T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-04-20T00:00:00.000Z","LatLng(34.05, -118.25)","104.88064","/","2020-04-20T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-05-04T00:00:00.000Z","LatLng(34.05, -118.25)","82.919","/","2020-05-04T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-05-18T00:00:00.000Z","LatLng(34.05, -118.25)","66.618164","/","2020-05-18T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-06-01T00:00:00.000Z","LatLng(34.05, -118.25)","85.42036","/","2020-06-01T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-06-15T00:00:00.000Z","LatLng(34.05, -118.25)","74.33545","/","2020-06-15T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-06-29T00:00:00.000Z","LatLng(34.05, -118.25)","72.24986","/","2020-06-29T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-07-13T00:00:00.000Z","LatLng(34.05, -118.25)","72.004814","/","2020-07-13T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-07-27T00:00:00.000Z","LatLng(34.05, -118.25)","81.31698","/","2020-07-27T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-08-10T00:00:00.000Z","LatLng(34.05, -118.25)","85.326485","/","2020-08-10T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-08-24T00:00:00.000Z","LatLng(34.05, -118.25)","77.834885","/","2020-08-24T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-09-07T00:00:00.000Z","LatLng(34.05, -118.25)","99.111626","/","2020-09-07T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-09-21T00:00:00.000Z","LatLng(34.05, -118.25)","120.08474","/","2020-09-21T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-10-05T00:00:00.000Z","LatLng(34.05, -118.25)","132.08456","/","2020-10-05T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-10-19T00:00:00.000Z","LatLng(34.05, -118.25)","188.0043","/","2020-10-19T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-11-02T00:00:00.000Z","LatLng(34.05, -118.25)","192.64505","/","2020-11-02T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-11-16T00:00:00.000Z","LatLng(34.05, -118.25)","179.43665","/","2020-11-16T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-11-30T00:00:00.000Z","LatLng(34.05, -118.25)","231.10538","/","2020-11-30T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-12-14T00:00:00.000Z","LatLng(34.05, -118.25)","174.7978","/","2020-12-14T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2020-12-28T00:00:00.000Z","LatLng(34.05, -118.25)","281.599","/","2020-12-28T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-01-11T00:00:00.000Z","LatLng(34.05, -118.25)","239.26196","/","2021-01-11T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-01-25T00:00:00.000Z","LatLng(34.05, -118.25)","253.77866","/","2021-01-25T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-02-08T00:00:00.000Z","LatLng(34.05, -118.25)","232.34459","/","2021-02-08T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-02-22T00:00:00.000Z","LatLng(34.05, -118.25)","237.41376","/","2021-02-22T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-03-08T00:00:00.000Z","LatLng(34.05, -118.25)","177.4185","/","2021-03-08T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-03-22T00:00:00.000Z","LatLng(34.05, -118.25)","178.61168","/","2021-03-22T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-04-05T00:00:00.000Z","LatLng(34.05, -118.25)","169.61948","/","2021-04-05T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-04-19T00:00:00.000Z","LatLng(34.05, -118.25)","161.04573","/","2021-04-19T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-05-03T00:00:00.000Z","LatLng(34.05, -118.25)","NaN","/","2021-05-03T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-05-17T00:00:00.000Z","LatLng(34.05, -118.25)","NaN","/","2021-05-17T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
"2021-05-31T00:00:00.000Z","LatLng(34.05, -118.25)","NaN","/","2021-05-31T00:00:00.000Z","EMSS","TROPOMI","/","Sentinel-5p Level-3 NO2"
