time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2020-07-11T12:25:00.000Z","LatLng(45.314247, 12.508056)","-9.540641828","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2020-07-18T00:00:00.000Z","LatLng(45.314247, 12.508056)","-5.632000000000001","/","2019-01-01T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2020-07-18T00:00:00.000Z","LatLng(45.314247, 12.508056)","21.87","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-07-18T12:35:00.000Z","LatLng(45.314247, 12.508056)","1.277131467","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2020-07-25T00:00:00.000Z","LatLng(45.314247, 12.508056)","66.969","/","2019-01-01T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2020-07-25T00:00:00.000Z","LatLng(45.314247, 12.508056)","37.54","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-07-25T12:50:00.000Z","LatLng(45.314247, 12.508056)","13.33363098","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2020-08-01T00:00:00.000Z","LatLng(45.314247, 12.508056)","143.963","/","2019-01-01T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2020-08-01T00:00:00.000Z","LatLng(45.314247, 12.508056)","79.05","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-08-01T12:45:00.000Z","LatLng(45.314247, 12.508056)","28.56417639","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2020-08-08T00:00:00.000Z","LatLng(45.314247, 12.508056)","-27.543000000000003","/","2019-01-01T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2020-08-08T00:00:00.000Z","LatLng(45.314247, 12.508056)","-13.88","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-08-08T11:15:00.000Z","LatLng(45.314247, 12.508056)","-9.534740142","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2020-08-15T00:00:00.000Z","LatLng(45.314247, 12.508056)","1.656","/","2019-01-01T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2020-08-15T00:00:00.000Z","LatLng(45.314247, 12.508056)","9.17","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-08-15T11:20:00.000Z","LatLng(45.314247, 12.508056)","-8.455045868","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2020-08-22T00:00:00.000Z","LatLng(45.314247, 12.508056)","16.043","/","2019-01-01T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2020-08-22T00:00:00.000Z","LatLng(45.314247, 12.508056)","45.47","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-08-29T00:00:00.000Z","LatLng(45.314247, 12.508056)","338.80699999999996","/","2019-01-01T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2020-08-29T00:00:00.000Z","LatLng(45.314247, 12.508056)","250.68","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-09-05T00:00:00.000Z","LatLng(45.314247, 12.508056)","128.071","/","2019-01-01T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2020-09-05T00:00:00.000Z","LatLng(45.314247, 12.508056)","77.12","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-09-05T11:40:00.000Z","LatLng(45.314247, 12.508056)","48.86378312","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2020-09-12T00:00:00.000Z","LatLng(45.314247, 12.508056)","-13.821","/","2019-01-01T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2020-09-12T00:00:00.000Z","LatLng(45.314247, 12.508056)","-17.08","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-09-12T11:45:00.000Z","LatLng(45.314247, 12.508056)","-10.33310694","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2020-09-19T00:00:00.000Z","LatLng(45.314247, 12.508056)","-14.485","/","2019-01-01T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2020-09-19T00:00:00.000Z","LatLng(45.314247, 12.508056)","-14.48","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-09-19T12:45:00.000Z","LatLng(45.314247, 12.508056)","-26.04100636","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2020-09-26T00:00:00.000Z","LatLng(45.314247, 12.508056)","13.431","/","2019-01-01T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2020-09-26T00:00:00.000Z","LatLng(45.314247, 12.508056)","5.85","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-09-26T11:55:00.000Z","LatLng(45.314247, 12.508056)","11.35614021","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2020-10-02T12:00:00.000Z","LatLng(45.314247, 12.508056)","106.1220322","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2020-10-03T00:00:00.000Z","LatLng(45.314247, 12.508056)","141.166","/","2019-01-01T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2020-10-03T00:00:00.000Z","LatLng(45.314247, 12.508056)","334.8","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-10-10T00:00:00.000Z","LatLng(45.314247, 12.508056)","18.883","/","2019-01-01T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2020-10-10T00:00:00.000Z","LatLng(45.314247, 12.508056)","51","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
"2020-10-10T12:20:00.000Z","LatLng(45.314247, 12.508056)","20.27195403","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2020-10-17T00:00:00.000Z","LatLng(45.314247, 12.508056)","532.047","/","2019-01-01T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2020-10-17T12:15:00.000Z","LatLng(45.314247, 12.508056)","NaN","","Invalid DateTime","NASA OBPG","Aqua MODIS","","MODISA L2 LAC OC"
"2020-10-24T00:00:00.000Z","LatLng(45.314247, 12.508056)","71.72","/","2019-01-01T00:00:00.000Z","CNR-ISMAR","Sentinel-3A OLCI","/","S3A_OL_2_WFR"
"2020-10-24T00:00:00.000Z","LatLng(45.314247, 12.508056)","27.94","","Invalid DateTime","JAXA/EORC","GCOM-C/SGLI","","EORC product"
